postcode,place_id,distance,duration
5554,ChIJHc3SHVrasGoRMPi5RVU2Aw8,163.0,117.58
5554,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,155.21,109.0
5554,ChIJscH3eyHJsGoRjMLoSHcIsm4,151.12,101.72
5011,ChIJA8JbLlhLt2oRwQltOFgMf40,22.04,33.73
5011,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,19.03,30.63
5011,ChIJu3UpY0zRsGoRLMloCgGsIcA,21.05,35.1
5011,ChIJHc3SHVrasGoRMPi5RVU2Aw8,15.92,24.08
5011,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,14.6,24.22
5011,ChIJscH3eyHJsGoRjMLoSHcIsm4,8.25,14.12
5052,ChIJA8JbLlhLt2oRwQltOFgMf40,26.78,40.72
5052,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,20.61,32.25
5052,ChIJu3UpY0zRsGoRLMloCgGsIcA,1.35,4.0
5052,ChIJHc3SHVrasGoRMPi5RVU2Aw8,14.27,22.9
5052,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,17.59,29.4
5052,ChIJscH3eyHJsGoRjMLoSHcIsm4,15.1,24.73
5032,ChIJA8JbLlhLt2oRwQltOFgMf40,21.93,35.02
5032,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,18.92,31.92
5032,ChIJu3UpY0zRsGoRLMloCgGsIcA,17.26,28.92
5032,ChIJHc3SHVrasGoRMPi5RVU2Aw8,12.08,17.72
5032,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,14.49,25.5
5032,ChIJscH3eyHJsGoRjMLoSHcIsm4,7.22,15.08
5093,ChIJA8JbLlhLt2oRwQltOFgMf40,7.31,10.08
5093,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,10.27,15.33
5093,ChIJu3UpY0zRsGoRLMloCgGsIcA,24.01,37.03
5093,ChIJHc3SHVrasGoRMPi5RVU2Aw8,26.25,42.1
5093,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,7.87,12.27
5093,ChIJscH3eyHJsGoRjMLoSHcIsm4,11.15,16.9
5035,ChIJA8JbLlhLt2oRwQltOFgMf40,21.67,33.8
5035,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,15.71,26.48
5035,ChIJu3UpY0zRsGoRLMloCgGsIcA,11.2,19.12
5035,ChIJHc3SHVrasGoRMPi5RVU2Aw8,8.71,13.4
5035,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.48,22.5
5035,ChIJscH3eyHJsGoRjMLoSHcIsm4,6.48,13.48
5047,ChIJA8JbLlhLt2oRwQltOFgMf40,31.32,45.17
5047,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,25.16,36.7
5047,ChIJu3UpY0zRsGoRLMloCgGsIcA,10.91,16.68
5047,ChIJHc3SHVrasGoRMPi5RVU2Aw8,5.07,8.12
5047,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,22.13,33.87
5047,ChIJscH3eyHJsGoRjMLoSHcIsm4,18.1,27.5
5051,ChIJA8JbLlhLt2oRwQltOFgMf40,28.61,42.3
5051,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,22.44,33.83
5051,ChIJu3UpY0zRsGoRLMloCgGsIcA,4.87,8.98
5051,ChIJHc3SHVrasGoRMPi5RVU2Aw8,11.44,17.92
5051,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,19.41,30.98
5051,ChIJscH3eyHJsGoRjMLoSHcIsm4,16.93,26.32
5082,ChIJA8JbLlhLt2oRwQltOFgMf40,15.0,22.7
5082,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,11.98,19.52
5082,ChIJu3UpY0zRsGoRLMloCgGsIcA,16.99,27.62
